都道府県名,測量地域,測量目的,測量種別,縮尺,事業量,計画機関,実施機関,作業期間,付図番号
福島県,いわき市,港湾計画,基準点,,12point,"第二港湾建設局,小名浜港工事事務所",国際航業,"56.10.12,56.12.25",
福島県,浪江町,国有林野図根測量,基準点,,3point,東北農政局請戸川農業水利事業所,林野弘済会,"57.1.20,57.3.20",
福島県,飯舘村,林野経営,基準点,,3point,前橋営林局,自営,"56.9.7,56.9.16",
福島県,原町市,地盤沈下,水準,,44.0km,原町市,福建コンサルタント,"57.2.5,57.3.20",1301
福島県,いわき市,道路計画,縦横断,,1.3km,日本道路公団仙台建設局,アジア航測,"56.4.13,56.5.30",
福島県,"大信村,矢吹町,泉崎村",農地開発,撮影,7000,63.0KM2,東北農政局矢吹開拓建設事業所,アジア航測,"56.11.27,57.1.25",1036
福島県,相馬市,森林調査,撮影,16000,1522.0KM2,福島県,八州,"56.6.2,56.9.30",169
福島県,会津若松市,道路計画,"撮影,図化","4000,,500","2.2KM2,0.1KM2",福島県会津若松建設事務所,おおとり航測,"56.10.20,56.12.20",
福島県,いわき市,公園計画,"撮影,図化","4000,,500","1.7KM2,0.7KM2",福島県いわき建設事務所,おおとり航測,"57.2.25,57.3.20",
福島県,白河市,下水道台帳,"撮影,図化","4000,,500","3.0KM2,0.4KM2",白河市,写測,"56.9.20,56.12.22",
福島県,会津高田町,道路台帳,"撮影,撮影,図化,図化","4000,,8000,,500,,1000","72.0KM2,156.0KM2,3.8KM2,3.2KM2",会津高田町,国際航業,"56.10.28,58.10.7",934
福島県,矢吹町,下水道計画,"撮影,図化","4000,,500","1.9KM2,0.3KM2",矢吹町,パシフイック航業,"56.11.18,57.3.15",
福島県,小高町,道路台帳,"撮影,撮影,図化,図化","4000,,8000,,500,,1000","82.0KM2,20.0KM2,3.8KM2,9.1KM2",小高町,新日本航測,"56.12.3,61.2.15",1044
福島県,昭和村,道路台帳,"撮影,図化","4000,,500","75.0KM2,5.5KM2",昭和村,東洋航空事業,"56.12.11,58.2.15",
福島県,"郡山市,須賀川市,玉川村,平田村",農地造成,"撮影,図化","7000,,1000","186.0KM2,0.8KM2",農用地開発公団阿武隈八溝事務所,アジア航測,"56.5.2,56.7.31",73
福島県,"常葉町,都路村,川内村",農用地開発計画,"撮影,図化","7000,,1000","68.0KM2,1.8KM2",農用地開発公団阿武隈八溝事務所,東日本航空,"56.5.21,56.11.30",
福島県,船引町,農地開発,"撮影,図化","8000,,2500","40.0KM2,10.0KM2",福島県,パシフイック航業,"56.6.16,56.8.29",207
福島県,"相馬市,新地町",地域開発,"撮影,図化","8000,,1000","35.2KM2,21.0KM2",福島県,パシフイック航業,"56.4.23,56.7.31",255
福島県,郡山市,道路計画,"撮影,図化","8000,,1000","13.2KM2,3.0KM2",福島県郡山建設事務所,おおとり航測,"56.8.1,56.12.31",429
福島県,いわき市,道路計画,"撮影,図化","8000,,1000","10.8KM2,1.8KM2",福島県いわき建設事務所,三和航測,"56.10.12,56.12.24",
福島県,福島市,河川計画,"撮影,図化","8000,,1000","8.9KM2,0.4KM2",福島県福島建設事務所,おおとり航測,"56.12.10,57.1.20",
福島県,猪苗代町,道路計画,"撮影,図化","8000,,1000","9.4KM2,0.4KM2",福島県喜多方建設事務所,おおとり航測,"57.1.4,57.2.20",
福島県,猪苗代町,道路計画,"撮影,図化","8000,,1000","6.8KM2,0.8KM2",猪苗代町,おおとり航測,"57.1.4,57.2.28",
福島県,飯舘村,道路台帳,"撮影,図化","8000,,1000","234.0KM2,11.7KM2",飯舘村,新日本航測,"56.12.3,61.3.25",1045
福島県,西会津町,地すべり対策,"撮影,図化","10000,,2000","20.2KM2,0.8KM2",福島県会津若松農地林務事務所,パシフイック航業,"56.5.1,56.8.8",106
福島県,飯舘村,道路計画,"撮影,図化","12500,,2500","22.9KM2,5.0KM2",福島県原町建設事務所,アジア航測,"56.10.8,56.11.27",677
福島県,三島町,道路計画,"撮影,図化","12500,,2500","21.0KM2,3.8KM2",福島県会津若松建設事務所,おおとり航測,"56.10.7,56.12.5",794
福島県,葛尾村,道路計画,"撮影,図化","12500,,2500","19.0KM2,3.8KM2",福島県原町建設事務所,アジア航測,"56.12.5,57.1.31",
福島県,いわき市,道路計画,"撮影,図化","12500,,2500","17.4KM2,2.4KM2",福島県いわき建設事務所,おおとり航測,"56.12.26,57.3.5",
福島県,三島町,道路計画,"撮影,図化","12500,,2500","13.2KM2,3.0KM2",福島県会津若松建設事務所,おおとり航測,"57.2.20,57.3.20",1303
福島県,長沼町,河川計画,"撮影,図化","12500,,2500","18.9KM2,3.6KM2",福島県郡山建設事務所,おおとり航測,"57.3.5,57.3.31",1341
福島県,富岡町,都市計画,"撮影,撮影,図化,図化修正","12500,,20000,,2500,,2500","69.2KM2,69.2KM2,4.2KM2,24.2KM2",富岡町,東洋航空事業,"56.10.15,57.1.31",724
福島県,田島町,都市計画,"撮影,図化","12500,,2500","54.3KM2,25.2KM2",田島町,おおとり航測,"56.10.25,57.3.20",818
福島県,楢葉町,都市計画,"撮影,図化","12500,,2500","50.0KM2,42.0KM2",楢葉町,陸地写真,"57.3.15,57.4.15",1377
福島県,"喜多方市,山都町,高郷村,西会津町",防災計画,"撮影,図化","12500,,2500","75.0KM2,5.0KM2",日本国有鉄道信濃川工事局,東日本航空,"56.9.20,56.11.30",617
福島県,"福島市,保原町,霊山町,飯野町,川俣町",農業開発計画,"撮影,図化","20000,,5000","96.0KM2,9.1KM2",東北農政局阿武隈地域総合開発調査事務所,国際航業,"56.8.29,56.12.25",563
福島県,"天栄村,西郷村",演習場施設平面図作成,"撮影,図化","20000,,5000","170.0KM2,34.0KM2",仙台防衛施設局,東洋航空事業,"56.9.25,57.1.25",719
福島県,郡山市,農地開発,図化,1000,4.8KM2,東北農政局郡山東部開拓建設事業所,国際航業,"56.7.1,56.9.24",
福島県,郡山市,農地開発,図化,1000,3.0KM2,東北農政局郡山東部開拓建設事業所,アジア航測,"56.12.22,57.3.23",
福島県,只見町,土地改良,図化,1000,8.7KM2,福島県,国際航業,"56.6.4,56.8.29",
福島県,新鶴村,土地改良,図化,1000,8.7KM2,福島県,八州,"56.6.4,56.8.29",206
福島県,三春町,緑農住区開発計画,図化,1000,2.0KM2,福島県,東洋航空事業,"56.8.10,56.9.13",
福島県,三春町,ほ場整備,図化,1000,0.9KM2,福島県郡山農地事務所,東洋航空事業,"56.8.12,59.9.5",
福島県,"常葉町,都路村,川内村",農地造成,図化,1000,2.6KM2,農用地開発公団阿武隈八溝事務所,三和航測,"56.5.28,56.7.15",
福島県,"相馬市,新地町",道路計画,図化,2500,18.5KM2,東北地建磐城国道工事事務所,東洋航空事業,"56.10.27,56.12.15",
福島県,"須賀川市,鏡石町",都市計画,"図化,図化修正","2500,,2500","19.7KM2,96.3KM2",福島県,国際航業,"56.9.16,57.3.15",583
福島県,西郷村,ダム計画,図化,2500,6.0KM2,福島県白河建設事務所,おおとり航測,"56.6.20,56.9.14",265
福島県,西郷村,河川計画,図化,2500,4.0KM2,福島県白河建設事務所,おおとり航測,"56.7.10,56.8.20",
福島県,いわき市,ダム計画,図化,2500,6.5KM2,福島県いわき建設事務所,おおとり航測,"56.7.1,56.9.30",291
福島県,飯舘村,道路計画,図化,2500,7.0KM2,福島県原町建設事務所,パシフイック航業,"56.10.5,56.11.27",
福島県,河東町,道路計画,図化,2500,0.9KM2,福島県会津若松建設事務所,おおとり航測,"56.10.17,56.10.31",
福島県,山都町,道路計画,図化,2500,5.5KM2,福島県喜多方建設事務所,おおとり航測,"56.11.27,57.2.8",
福島県,郡山市,都市計画,図化,2500,96.3KM2,郡山市,パシフイック航業,"56.10.14,57.2.10",723
福島県,舘岩村,道路計画,図化,2500,3.9KM2,舘岩村,おおとり航測,"56.6.15,56.7.20",
福島県,舘岩村,道路計画,図化,2500,10.2KM2,舘岩村,おおとり航測,"56.7.20,56.8.31",
福島県,大信村,道路計画,図化,5000,4.8KM2,福島県白河建設事務所,おおとり航測,"57.1.10,57.2.25",
福島県,西会津町,ほ場整備,平板,500,2.3KM2,福島県会津若松農地事務所,新井田測量設計,"56.10.27,57.1.10",
福島県,福島市,土地区画整理,平板,500,0.3KM2,福島市,画地測量設計,"56.12.5,57.3.15",
福島県,福島市,土地区画整理,平板,500,0.2KM2,福島市,東日本航空,"56.12.12,57.3.15",
福島県,会津若松市,土地区画整理,平板,500,0.4KM2,会津若松市,福島区画整理協会,"57.2.10,57.3.20",
福島県,田島町,道路台帳,平板,500,0.3KM2,田島町,東日路政コンサルタント,"56.10.1,57.3.25",
茨城県,鹿島町,道路台帳,基準点,,58point,鹿島町,東日本航空,"56.5.28,57.3.20",
茨城県,,河川計画,水準,,123.0km,関東地建常陸工事事務所,日本測量,"56.9.22,57.1.19",
茨城県,,道路計画,水準,,300.0km,関東地建霞ヶ浦工事事務所,"八州,アジア航測","56.12.9,57.3.25",
茨城県,"五霞町,土浦市,つくば市",地盤沈下,水準,,501.0km,茨城県,東洋航空事業,"56.12.26,57.3.31",1209
茨城県,鹿島町,道路台帳,撮影,4000,55.9KM2,鹿島町,東日本航空,"57.1.8,57.3.20",1256
茨城県,"勝田市,那珂湊市,東海村",植生・地形変化調査,撮影,8000,39.0KM2,関東地建国営常陸海岸公園工事事務所,パシフイック航業,"57.3.1,57.3.31",1399
茨城県,結城市,道路台帳,撮影,8000,65.2KM2,結城市,パシフイック航業,"57.3.31,57.4.10",1400
茨城県,取手市,下水道計画,"撮影,図化","4000,,500","15.0KM2,4.3KM2",取手地方広域下水道組合,東洋航空事業,"57.3.1,57.5.31",1397
茨城県,,道路台帳,"撮影,図化","6000,,1000","111.5KM2,7.8KM2",茨城県,茨城県建設コンサルタント,"56.9.18,57.3.15",
茨城県,,河川改修,"撮影,図化","8000,,1000","16.7KM2,3.3KM2",関東地建利根川下流工事事務所,第一航業,"56.10.15,56.12.25",
茨城県,阿見町,ほ場整備,"撮影,図化","8000,,1000","40.0KM2,6.5KM2",茨城県江戸崎土地改良事務所,第一航業,"56.6.22,56.9.30",342
茨城県,"鉾田町,旭村",土地改良,"撮影,図化","8000,,1000","48.9KM2,5.0KM2",茨城県鉾田土地改良事務所,東洋航空事業,"56.9.30,57.1.31",787
茨城県,大和村,ほ場整備,"撮影,図化","8000,,1000","15.5KM2,3.0KM2",茨城県下館土地改良事務所,東日本航空,"56.10.14,57.1.31",944
茨城県,"大宮町,山方町,瓜連町",土地改良,"撮影,図化","8000,,1000","45.0KM2,3.0KM2",茨城県常陸太田土地改良事務所,東洋航空事業,"56.11.27,57.2.27",
茨城県,笠間市,公園計画,"撮影,図化","8000,,1000","6.0KM2,0.9KM2",笠間市,三和航測,"56.8.28,56.11.25",
茨城県,北茨城市,道路台帳,"撮影,図化","8000,,1000","186.4KM2,41.6KM2",北茨城市,国際航業,"56.9.26,59.3.10",941
茨城県,瓜連町,道路台帳,"撮影,図化","8000,,1000","28.0KM2,15.0KM2",瓜連町,三和航測,"57.3.17,58.2.28",1398
茨城県,茨城町,ほ場整備,"撮影,図化","8000,,1000","15.2KM2,1.2KM2",茨城町,三和航測,"56.10.27,57.1.30",
茨城県,桂村,道路台帳,"撮影,図化","8000,,1000","59.0KM2,8.0KM2",桂村,茨城県建設コンサルタント,"56.12.1,57.3.31",1107
茨城県,猿島町,現況図作成,"撮影,図化","10000,,2500","59.3KM2,34.3KM2",猿島町,パシフイック航業,"56.7.15,56.10.31",395
茨城県,常北町,都市計画,"撮影,撮影,図化,図化","12500,,30000,,5000,,10000","24.0KM2,50.0KM2,9.8KM2,30.0KM2",茨城県,国際航業,"56.6.20,56.11.30",372
茨城県,水戸市,都市計画,"撮影,図化","12500,,2500","28.5KM2,11.0KM2",水戸市,東洋航空事業,"56.12.18,57.3.25",1183
茨城県,高萩市,都市計画,"撮影,撮影,図化,図化","12500,,20000,,2500,,10000","36.0KM2,22.0KM2,28.6KM2,16.3KM2",高萩市,パシフイック航業,"56.5.25,56.8.12",393
茨城県,牛久町,都市計画,"撮影,図化","12500,,2500","48.0KM2,30.9KM2",(財)牛久町開発公社,第一航業,"56.3.10,56.5.31",6
茨城県,境町,都市計画,"撮影,図化","15000,,2500","30.2KM2,9.0KM2",茨城県,アジア航測,"56.5.29,56.11.30",372
茨城県,猿島町,都市計画,"撮影,図化","15000,,2500","31.6KM2,9.0KM2",茨城県,東洋航空事業,"56.6.20,56.11.30",372
茨城県,協和町,都市計画,"撮影,図化","30000,,10000","105.0KM2,36.2KM2",協和町,三和航測,"56.9.25,56.11.30",684
茨城県,岩井市,下水道事業,図化,500,0.5KM2,岩井市,セントラル航空測量,"56.5.15,56.8.5",
茨城県,土浦市,下水道計画,図化,500,9.8KM2,土浦市,パシフイック航業,"56.9.3,57.9.30",
茨城県,"茨城町,美野里町",農業水利事業,図化,1000,3.2KM2,関東農政局石岡台地農業水利事業所,三和航測,"56.4.18,56.6.6",
茨城県,美野里町,土地改良,図化,1000,0.3KM2,関東農政局石岡台地農業水利事業所,玉野総合コンサルタント,"56.6.19,56.7.22",
茨城県,東海村,河川現況図作成,図化,1000,0.4KM2,茨城県,茨城県建設コンサルタント,"56.12.15,58.3.25",
茨城県,北浦村,土地改良,図化,1000,1.2KM2,茨城県鉾田土地改良事務所,東洋航空事業,"56.9.13,56.10.30",
茨城県,藤代町,土地改良,図化,1000,2.6KM2,茨城県土浦土地改良事務所,第一航業,"56.9.29,57.2.15",
茨城県,明野町,道路台帳,図化,1000,47.0KM2,明野町,茨城県建設コンサルタント,"56.4.1,57.3.25",
茨城県,東海村,土地区画整理,図化,1000,0.5KM2,東海村,パシフイック航業,"57.2.27,57.3.25",
茨城県,,河川図作成,図化,2500,42.9KM2,関東地建下館工事事務所,国際航業,"57.9.17,57.2.23",
栃木県県境茨城県,"大田原市,県境御前山村,桂村",土地改良,"図化,図化修正,編集","5000,,5000,,5000","6.3KM2,14.0KM2,90.0KM2",関東農政局利根川水系農業水利調査事務所,アジア航測,"56.10.15,57.1.22",861
茨城県,大和村,総合計画,図化,10000,29.1KM2,大和村,セントラル航空測量,"56.5.16,56.7.20",112
栃木県,鹿沼市,都市計画,基準点,,59point,鹿沼市,国際航業,"56.11.30,57.3.27",
栃木県,藤原町,鉄道計画,基準点,,10point,日本鉄道建設公団東京支社,林野弘済会,"56.10.10,57.2.10",
栃木県,足利市,地盤沈下,水準,,354.0km,栃木県,国際航業,"56.11.24,57.2.5",992
栃木県,今市市,道路台帳,撮影,8000,243.9KM2,今市市,日光測量,"57.2.16,57.6.30",1354
栃木県,"鹿沼市,今市市,日光市",森林計画,撮影,20000,812.0KM2,栃木県,アジア航測,"56.4.20,56.10.31",31
栃木県,黒磯市,下水道台帳,"撮影,撮影,図化","4000,,12500,,500","69.3KM2,142.3KM2,2.9KM2",黒磯市,日研測量,"56.12.23,57.3.10",1182
栃木県,喜連川町,道路台帳,"撮影,撮影,図化,図化","4000,,8000,,500,,1000","7.0KM2,74.5KM2,2.2KM2,7.7KM2",喜連川町,国際航業,"57.1.25,60.3.31",1313
栃木県,,河川管理,"撮影,図化","8000,,1000","95.5KM2,3.5KM2",栃木県土木部,日研測量,"56.12.25,57.3.25",
栃木県,西那須野町,都市計画,"撮影,撮影,図化","10000,,30000,,10000","92.5KM2,166.1KM2,58.9KM2",西那須野町,パシフイック航業,"56.4.28,56.7.31",113
栃木県,氏家町,都市計画,"撮影,図化,図化修正","10000,,2500,,2500","50.7KM2,13.4KM2,14.6KM2",氏家町,パシフイック航業,"56.10.1,57.2.28",789
栃木県,,河川管理,"撮影,図化","12500,,2500","382.0KM2,30.5KM2",関東地建渡良瀬川工事事務所,協同測量社,"56.10.29,57.3.17",1031
栃木県,宇都宮市,道路計画,"撮影,図化","12500,,2500","186.0KM2,144.0KM2",宇都宮市,パシフイック航業,"56.6.3,57.3.10",367
栃木県,小川町,都市計画,"撮影,図化","20000,,10000","122.9KM2,42.4KM2",小川町,日研測量,"56.1.5,57.3.10",4
栃木県,鹿沼市,都市計画,"撮影,図化,編集","30000,,10000,,25000","270.0KM2,180.0KM2,131.7KM2",鹿沼市,国際航業,"56.2.4,56.5.20",5
栃木県,宇都宮市,土地改良,図化,1000,9.3KM2,宇都宮市,パシフイック航業,"56.6.16,56.12.15",
栃木県,小山市,都市計画,"図化,図化修正","2500,,2500","26.3KM2,36.1KM2",小山市,パシフイック航業,"56.4.28,56.10.31",
栃木県,佐野市,都市計画,"図化,図化修正","2500,,2500","61.1KM2,15.8KM2",佐野市,国際航業,"56.12.23,57.4.30",1111
栃木県,田沼町,都市計画,"図化,図化修正","2500,,2500","3.0KM2,9.0KM2",田沼町,パシフイック航業,"56.11.11,57.2.23",
群馬県,"長野原町,六合村",電源開発,基準点,,8point,群馬県企業局,富永調査事務所,"57.3.15,57.4.30",
群馬県,新治村,国有林野経営,基準点,,4point,前橋営林局,関東測量,"56.6.13,56.11.9",
群馬県,水上町,林野経営,基準点,,1point,前橋営林局,林業土木コンサルタンツ,"56.11.10,56.12.10",
群馬県,沼田市,道路台帳,"撮影,図化","4000,,500","29.3KM2,6.3KM2",沼田市,セントラル航空測量,"56.5.15,57.3.25",211
群馬県,桐生市,道路台帳,"撮影,図化","4000,,500","9.1KM2,4.7KM2",桐生市,パシフイック航業,"56.7.15,57.2.27",
群馬県,太田市,道路台帳,"撮影,図化","8000,,1000","17.8KM2,11.2KM2",太田市,パシフイック航業,"56.5.1,56.9.30",344
群馬県,長野原町,道路台帳,"撮影,図化","8000,,1000","200.0KM2,9.4KM2",長野原町,国際航業,"55.12.26,57.5.31",328
群馬県,邑楽町,道路台帳,"撮影,図化","8000,,1000","45.6KM2,30.5KM2",邑楽町,パシフイック航業,"56.12.19,60.1.31",1216
群馬県,新治村,下水道計画,"撮影,図化","8000,,2500","182.0KM2,11.0KM2",新治村,藤和航測,"56.6.10,56.11.30",397
群馬県,渋川市,土取場計画,"撮影,図化","8000,,1000","1.8KM2,0.7KM2",日本道路公団東京第二建設局高崎工事事務所,アジア航測,"56.5.20,56.6.25",
群馬県,玉村町,都市計画,"撮影,図化","12500,,2500","63.1KM2,25.5KM2",玉村町,アジア航測,"57.2.24,57.7.30",1349
群馬県県境長野県,"高崎市,富岡市,県境軽井沢町,御代田町",鉄道計画,"撮影,撮影,図化","12500,,30000,,1000","68.4KM2,297.0KM2,187.0KM2",日本鉄道建設公団東京支社,アジア航測,"57.2.10,57.3.30",1367
群馬県,榛東村,現況図作成,"撮影,図化","25000,,5000","109.0KM2,24.0KM2",東京防衛施設局,アジア航測,"56.10.24,57.3.20",1090
群馬県,藤岡市,都市計画,"図化,図化","500,,2500","2.3KM2,12.0KM2",藤岡市,セントラル航空測量,"56.6.28,56.12.20",398
群馬県,前橋市,道路計画,図化,1000,1.9KM2,関東地建高崎工事事務所,国際航業,"56.8.5,56.11.2",
群馬県,高崎市,建築指導図作成,図化,1000,0.7KM2,高崎市,セントラル航業,"57.2.13,57.3.30",
群馬県,群馬町,都市計画,図化,2500,21.8KM2,群馬町,セントラル航空測量,"56.5.20,56.8.20",337
群馬県,前橋市,土地区画整理,平板,500,0.4KM2,前橋市,日本総合技術開発,"56.7.27,56.10.24",
群馬県,,森林計画,写図,5000,150.0KM2,群馬県,協同測量社,"56.11.1,57.2.28",942
埼玉県,行田市,土地区画整理,基準点,,4point,行田市,昭和測量工業,"56.3.14,56.6.10",
埼玉県,八潮市,土地区画整理,基準点,,41point,八潮市,昭和測量工業,"56.5.30,57.3.10",
埼玉県,蕨市,道路台帳,基準点,,25point,蕨市,日野測量設計,"56.9.1,56.12.28",
埼玉県,坂戸市,土地区画整理,基準点,,18point,坂戸市,昭和測量工業,"56.9.20,56.11.5",
埼玉県,熊谷市,道路台帳,基準点,,56point,熊谷市,昭和測量工業,"56.11.24,57.3.20",
埼玉県,久喜市,道路台帳,基準点,,30point,久喜市,昭和・塩崎測量建設共同企業体,"56.12.21,57.3.25",
埼玉県,与野市,道路台帳,基準点,,17point,与野市,国際航業,"57.1.15,57.3.20",
埼玉県,飯能市,都市計画,基準点,,33point,飯能市,八州,"57.2.24,57.3.31",
埼玉県,三郷市,土地区画整理,基準点,,13point,三郷市,昭和測量工業,"57.2.20,57.3.31",
埼玉県,伊奈町,道路台帳,基準点,,24point,伊奈町,昭和測量工業,"56.6.1,56.9.30",
埼玉県,小川町,都市計画,基準点,,4point,小川町,昭和測量工業,"56.12.15,57.2.20",
埼玉県,鶴ヶ島町,土地区画整理,基準点,,3point,鶴ヶ島町,昭和測量工業,"56.12.25,57.3.25",
埼玉県,松伏町,土地区画整理,基準点,,15point,松伏町,昭和測量工業,"56.12.1,57.3.20",
埼玉県,,地盤沈下,水準,,1555.0km,埼玉県,東洋航空事業,"56.11.24,57.2.28",
埼玉県,熊谷市,浄水場増設,水準,,23.6km,熊谷市,昭和測量工業,"56.10.20,56.11.16",
埼玉県,,遊水池事業,撮影,12500,120.5KM2,関東地建利根川上流工事事務所,東洋航空事業,"57.2.15,57.3.30",1345
埼玉県,上福岡市,下水道計画,"撮影,図化","3000,,500","6.7KM2,2.8KM2",上福岡市,国際航業,"56.8.22,57.3.10",
埼玉県,大滝村,ダム計画,"撮影,図化","4000,,1000","1.1KM2,0.2KM2",関東地建二瀬ダム管理所,アジア航測,"56.8.12,56.11.19",
埼玉県,草加市,道路台帳,"撮影,撮影,図化,図化","4000,,12500,,500,,2500","52.0KM2,125.0KM2,27.6KM2,27.6KM2",草加市,アジア航測,"56.11.11,57.3.20",1075
埼玉県,熊谷市,下水道現況図作成,"撮影,図化","4000,,500","13.4KM2,2.5KM2",熊谷市,東日本航空,"57.1.7,57.3.25",
埼玉県,毛呂山町,下水道計画,"撮影,図化","4000,,500","2.8KM2,0.6KM2",毛呂山・越生・鳩山公共下水道組合,東日本航空,"56.6.15,56.12.15",
埼玉県,"熊谷市,川本町",ほ場整備,"撮影,図化","8000,,1000","7.4KM2,4.7KM2",埼玉県深谷土地改良事務所,パシフイック航業,"56.10.29,57.1.10",
埼玉県,"本庄市,児玉町",河川改修,"撮影,撮影,図化,図化","8000,,12500,,1000,,2500","7.4KM2,35.2KM2,0.4KM2,6.5KM2",埼玉県本荘土木事務所,太平洋航業,"57.2.1,57.3.25",
埼玉県,川島町,河川改修,"撮影,図化","8000,,2500","35.0KM2,4.5KM2",埼玉県西部河川改修事務所,太平洋航業,"57.1.31,57.3.25",
埼玉県,深谷市,河川改修,"撮影,図化","8000,,2500","8.7KM2,3.0KM2",埼玉県南部河川改修事務所,太平洋航業,"57.1.29,57.3.25",
埼玉県,南河原村,道路台帳,"撮影,図化","8000,,1000","23.0KM2,5.8KM2",南河原村,アジア航測,"56.6.10,56.8.29",
埼玉県,坂戸市,都市計画,"撮影,図化","10000,,2500","84.0KM2,37.3KM2",坂戸市,東日本航空,"56.6.17,56.12.25",392
埼玉県,秩父市,都市計画,"撮影,撮影,図化,図化","12500,,30000,,2500,,10000","170.0KM2,132.0KM2,75.5KM2,58.5KM2",秩父市,パシフイック航業,"56.5.10,56.9.28",329
埼玉県,上尾市,都市計画,"撮影,図化","12500,,2500","120.4KM2,45.6KM2",上尾市,東洋航空事業,"56.5.7,56.8.31",335
埼玉県,行田市,都市計画,"撮影,図化","12500,,2500","195.0KM2,60.8KM2",行田市,太平洋航業,"56.12.4,57.3.20",1103
埼玉県,宮代町,都市計画,"撮影,図化","12500,,2500","18.4KM2,16.3KM2",宮代町,パシフイック航業,"56.10.26,57.3.20",946
埼玉県,騎西町,都市計画,"撮影,図化","12500,,2500","28.2KM2,3.5KM2",騎西町,国際航業,"56.12.21,57.3.20",1212
埼玉県,,鉄道計画,"撮影,図化","12500,,2500","395.7KM2,64.2KM2",日本鉄道建設公団東京新幹線工事局,パシフイック航業,"56.11.10,57.1.31",
埼玉県,川越市,下水道計画,図化,500,2.1KM2,川越市,パシフイック航業,"56.10.25,57.3.25",
埼玉県,寄居町,ほ場整備,図化,2500,2.6KM2,埼玉県土地改良調査事務所,アジア航測,"56.7.7,56.10.15",
埼玉県,神川村,ほ場整備,"図化,図化修正","2500,,2500","2.5KM2,17.1KM2",埼玉県土地改良調査事務所,太平洋航業,"57.2.26,57.3.25",1312
埼玉県,春日部市,都市計画,図化,2500,38.0KM2,春日部市,パシフイック航業,"56.6.20,56.11.20",330
埼玉県,大宮市,都市計画,図化,2500,25.1KM2,大宮市,国際航業,"56.7.24,56.10.31",489
埼玉県,上福岡市,道路台帳,平板,500,0.6KM2,上福岡市,国際航業,"57.2.5,57.3.20",
埼玉県,騎西町,土地区画整理,平板,500,0.4KM2,騎西町,共和コンサルタント,"56.9.21,57.2.20",
埼玉県,日高町,道路台帳,平板,500,4.0KM2,日高町,"関東工営,三上測量設計","56.11.7,57.3.6",
埼玉県,飯能市,森林計画,写図,5000,120.0KM2,埼玉県,セントラル航業,"57.1.7,57.2.10",1104
千葉県,松戸市,都市計画,基準点,,113point,松戸市,国際航業,"56.5.1,56.10.31",
千葉県,,地盤沈下,水準,,2390.0km,千葉県,"八州,東日本航空,京葉測量,協立コンサルタンツ","56.12.12,57.3.25",1146
千葉県,"銚子市,旭市,東庄町,飯岡町,海上町",畑地かんがい及び区画整理,撮影,8000,87.0KM2,千葉県八日市場土地改良事務所,国際航業,"56.3.18,56.4.30",2
千葉県,松戸市,都市開発,"撮影,図化","3000,,500","6.7KM2,0.7KM2",松戸市,国際航業,"56.6.1,56.10.27",
千葉県,千葉市,下水道計画,"撮影,図化","4000,,500","6.0KM2,2.3KM2",千葉市,パシフイック航業,"56.7.31,56.12.25",
千葉県,千葉市,道路計画,"撮影,図化","4000,,500","4.9KM2,0.2KM2",千葉市,パシフイック航業,"57.1.12,57.3.25",
千葉県,千葉市,下水道計画,"撮影,図化","4000,,500","33.0KM2,12.8KM2",千葉市,パシフイック航業,"57.2.9,57.3.31",1347
千葉県,成田市,ほ場整備,"撮影,図化","8000,,1000","24.0KM2,3.0KM2",千葉県成田土地改良事務所,コクサイ航測,"56.11.28,57.3.15",
千葉県,佐原市,道路台帳,"撮影,図化","8000,,1000","144.0KM2,29.3KM2",佐原市,新日本測量設計,"56.12.8,57.3.15",1147
千葉県,一宮町,都市計画,"撮影,図化","8000,,2500","45.0KM2,23.7KM2",一宮町,パシフイック航業,"56.11.11,57.3.25",1030
千葉県,栄町,ほ場整備,"撮影,図化","8000,,1000","22.0KM2,3.6KM2",栄町,国際航業,"56.11.20,57.3.10",
千葉県,市川市,都市計画,"撮影,図化","12500,,2500","120.0KM2,56.3KM2",市川市,国際航業,"56.5.13,56.10.12",212
千葉県,習志野市,都市計画,"撮影,図化","12500,,2500","44.5KM2,20.8KM2",習志野市,八州,"56.5.1,56.8.28",324
千葉県,佐倉市,都市計画,"撮影,図化","12500,,2500","340.0KM2,102.4KM2",佐倉市,日栄測量事業,"56.9.3,56.12.25",698
千葉県,船橋市,都市計画,"撮影,図化","12500,,2500","129.0KM2,85.1KM2",船橋市,京葉測量,"56.10.6,57.3.25",852
千葉県,我孫子市,都市計画,"撮影,図化","12500,,2500","96.0KM2,43.0KM2",我孫子市,中央コンサルタント,"57.1.13,57.3.30",1203
千葉県,館山市,道路台帳,図化,500,3.9KM2,館山市,パシフイック航業,"56.6.26,57.2.28",
千葉県,鎌ケ谷市,道路台帳,図化,500,0.7KM2,鎌ヶ谷市,国際航業,"56.10.5,57.3.10",
千葉県,沼南町,道路台帳,図化,500,2.5KM2,沼南町,国際航業,"56.8.10,57.3.25",
千葉県,"銚子市,東庄町",畑地かんがい及び区画整理,図化,1000,19.9KM2,千葉県八日市場土地改良事務所,"国際航業,パシフイック航業","56.6.20,56.7.31",
