都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,自至時期,,2018.01.14修正
宮城県,"仙台市,",街区基準点復旧,基準点,街区多角点,1point,助言H22.12.22B0243仙台市,(株)ウジイエ,"H22.12.20
H23.1.31",,
宮城県,"登米市,",２級基準点復旧,基準点,２級,1point,助言H22.12.27B0244登米市,(株)北振技研,"H22.11.25
H23.2.15",,
宮城県,"仙台市,",道路台帳,基準点,３級,26point,助言H23.1.20B0261仙台市,(株)秋元技術コンサルタンツ,"H23.1.20
H23.3.25",,
宮城県,"登米市,",ほ場整備,"座標補正,座標補正,座標補正","２級,,３級,,４級","9point,9point,69point",助言H23.1.20B0258宮城県東部地方振興事務所,岩倉測量設計(株),"H22.8.26
H23.2.18",,
宮城県,"石巻市,登米市,涌谷町,",河川管理,数値図修正,2500,"70KM2,",助言H23.2.4B0272東北地方整備局北上川下流河,東武計画(株),"H23.1.31
H23.3.25",,
宮城県,"仙台市,",道路台帳,基準点,３級,18point,助言H23.2.4B0274仙台市,佐野コンサルタンツ(株),"H23.1.31
H23.3.14",,
宮城県,"仙台市,",道路台帳基準点復旧,基準点,３級,1point,助言H23.3.10B0289仙台市ガス局,(株)田中測量設計,"H23.1.15
H23.3.31",,
宮城県,"仙台市,",土地区画整理,"基準点,基準点,基準点,水準,水準","２級,,３級,,４級,,３級,,４級","3point,3point,82point,8km,4.1km",助言H22.4.9B0002仙台市荒井南土地区画整理組合設立準備委員会,(株)オオバ,"H22.4.12
H23.3.31",,
宮城県,"利府町,",土地区画整理,"基準点,基準点,基準点,水準","２級,,３級,,４級,,３級","3point,12point,241point,4.6km",助言H22.4.19B0007利府町新中道土地区画整理組合設立準備委員会,国際航業(株),"H22.3.26
H22.12.20",,
宮城県,"大崎市,",固定資産,"数値撮影,ディジタルオルソ,同時調整","16cm,,1000,,1000","796.8KM2,796.8KM2,796.8KM2",助言H22.4.28B0013大崎市,(株)パスコ,"H22.4.15
H23.3.30",,
宮城県,"山元町,",道路台帳,"カラー撮影,数値図化,空三","5000,,500,,500","64.5KM2,2KM2,173point",助言H22.6.4B0039山元町,"ユニオンデーターシステム
(株)","H22.5.18
H22.12.15",,
宮城県,"大和町,大郷町,大衡村,",固定資産,"数値撮影,ディジタルオルソ,同時調整","10000,,2500,,2500","307KM2,165KM2,307KM2",助言H22.6.15B0043大和町,(株)パスコ,"H22.6.11
H23.3.15",,
宮城県,"大和町,",道路計画,"基準点,座標変換,水準","３級,,２級,,３級","2point,3point,12km",助言H22.6.25B0048宮城県仙台土木事務所,(株)地清建設企画,"H22.5.28
H23.2.28",,
宮城県,"栗原市,",砂防計画,"基準点,基準点,基準点","２級,,３級,,４級","3point,9point,31point",助言H22.6.28B0055宮城県北部土木事務所栗原地域事務所,(株)渡工測量設計,"H22.6.25
H23.2.28",,
宮城県,"塩竈市,",土地区画整理,基準点,４級,32point,助言H22.7.7B0064塩竈市,(株)オオバ,"H22.7.12
H23.7.25",,
宮城県,"岩沼市,",固定資産現況調査,"数値撮影,同時調整","10000,,1000","60.7KM2,291point",助言H22.7.13B0071岩沼市,朝日航洋(株),"H22.7.20
H23.3.25",,
宮城県,"蔵王町,",土地改良,"基準点,基準点,基準点,座標変換","２級,,３級,,４級,,２級","2point,36point,171point,2point",助言H22.7.23B0083宮城県大河原地方振興事務所,(有)北日本技研,"H22.6.17
H23.3.10",,
宮城県,"栗原市,",土地改良,"座標変換,基準点,基準点","２級,,３級,,４級","4point,48point,272point",助言H22.7.29B0094宮城県北部地方振興事務所,(株)渡工測量設計,"H22.7.2
H23.3.28",,
宮城県,"大河原町,",土地区画整理,"基準点,基準点,基準点","２級,,３級,,４級","3point,13point,35point",助言H22.8.5B0102大河原町広表土地区画整理組合,昭和(株),"H22.8.2
H24.3.30",,
宮城県,"石巻市,",ほ場整備,"基準点,基準点","３級,,４級","34point,81point",助言H22.8.9B0105宮城県東部地方振興事務所,"(株)佐藤土木測量設計事務
所","H22.8.5
H23.9.30",,
宮城県,"栗原市,",都市計画,"数値図化,編集","2500,,10000","91.4KM2,91.4KM2",助言H22.8.30B0113栗原市,アジア航測(株),"H22.7.30
H23.3.15",,
宮城県,"大崎市,美里町,",ほ場整備,"基準点,基準点,基準点","２級,,３級,,４級","7point,49point,274point",助言H22.8.24B0115宮城県北部地方振興事務所,(株)加美測量設計事務所,"H22.7.15
H23.3.15",,
宮城県,"仙台市,白石市,栗原市,大崎市,亘理町,山元町,",道路台帳,"基準点,基準点","１級,,３級","14point,24point",助言H22.9.2B0128東北地方整備局仙台河川国道事務所,(株)光生エンジニアリング,"H22.8.20
H23.2.18",,
宮城県,"石巻市,登米市,大崎市,涌谷町,美里町,",河川管理,"水準,水準","２級,,２級","9.3km,245.2km",助言H22.10.5B0152東北地方整備局北上川下流河川事務所,"(株)佐藤土木測量設計事務
所","H22.9.11
H23.1.19",,
宮城県,"栗原市,",土地改良,"基準点,基準点,基準点,基準点,基準点","２級,,３級,,４級,,３級,,４級","5point,4point,40point,4point,20point",助言H22.10.14B0165宮城県北部地方振興事務所,"岩倉測量設計(株)
(株)ウイル","H22.9.10
H23.3.29",,
宮城県,"村田町,",土地改良,"基準点,基準点,座標変換","２級,,４級,,２級","3point,43point,2point",助言H22.10.15B0166宮城県大河原地方振興事務所,(株)大江設計,"H22.10.8
H23.3.25",,
宮城県,"多賀城市,塩竈市,松島町,七ケ浜町,利府町,",都市計画,"数値図化,編集,既成図数値化","2500,,10000,,10000","81.2KM2,81.2KM2,54KM2",助言H22.10.25B0180多賀城市,国際航業(株),"H22.9.29
H23.6.30",,
宮城県,"仙台市,塩竈市,名取市,岩沼市,柴田町,亘理町,山元町,松島町,七ケ浜町,利府町,大和町,大郷町,富谷町,大衡村,",砂防基盤図作成,"数値図化,ディジタルオルソ","2500,,2500","57.1KM2,273.7KM2",助言H22.10.26B0181宮城県,(株)中庭測量コンサルタント,"H21.10.23
H22.11.30",,
宮城県,"美里町,女川町,石巻市,登米市,東松島市,松島町,",砂防基盤図作成,"数値図化,ディジタルオルソ","2500,,2500","41.3KM2,215.3KM2",助言H22.10.26B0182宮城県,(株)中庭測量コンサルタント,"H21.10.23
H22.11.30",,
宮城県,"仙台市,",土地区画整理,"基準点,基準点,水準","２級,,３級,,３級","4point,21point,6.2km",助言H22.10.27B0185仙台市富沢駅西土地区画整理組合設立準備委員会,(株)オオバ,"H22.10.5
H25.12.31",,
宮城県,"名取市,",地形図作成,"水準,数値図化","３級,,1000","7.5km,0.7KM2",助言H22.11.4B0189名取市,国際航業(株),"H22.10.5
H23.3.25",,
宮城県,"仙台市,",土地区画整理,基準点,４級,110point,助言H22.11.2B0190宮城県仙台港背後地土地区画整理事務所,(株)パスコ,"H22.7.21
H23.3.25",,
宮城県,"七ケ宿町,",ほ場整備,"基準点,基準点,座標変換","２級,,４級,,２級","4point,16point,5point",助言H22.11.15B0208宮城県大河原地方振興事務所,(株)大江設計,"H22.11.1
H23.3.25",,
宮城県,"大崎市,",都市計画・総合計画,"数値図修正,既成図数値化,座標変換,数値図化,編集","2500,,2500,,2500,,10000,,10000","114.6KM2,114.6KM2,114.6KM2,523.6KM2,114.6KM2",大崎市助言H22.11.16B0211,(株)協同測量社,"H22.7.13
H23.3.23",,
宮城県,"大崎市,",地盤変動調査,水準,１級,20km,助言H22.11.18B0212大崎市,(有)和光測量設計社,"H22.11.1
H23.2.28",,
宮城県,"石巻市,",ほ場整備,"基準点,基準点,基準点","２級,,３級,,４級","17point,24point,221point",助言H22.11.19B0217宮城県東部地方振興事務所,(株)西條設計コンサルタント,"H22.9.7
H23.3.28",,
宮城県,"石巻市,",ほ場整備,"基準点,基準点,基準点","２級,,３級,,４級","5point,18point,106point",助言H22.11.19B0218宮城県東部地方振興事務所,(株)丹野測量設計,"H22.9.14
H23.3.28",,
宮城県,"登米市,",道路台帳,"数値図化,既成図数値化","1000,,1000","78km,75.6km",助言H22.11.26B0223登米市,国際航業(株),"H22.11.9
H23.3.25",,
宮城県,"石巻市,気仙沼市,女川町,南三陸町,",漁港漁場管理,"カラー撮影,ディジタルオルソ,同時調整","8000,,1000,,1000","389KM2,20.2KM2,1399point",助言H22.12.15B0236宮城県,国際航業(株),"H22.12.3
H23.1.31",,
宮城県,"大崎市,",ダム管理,"基準点,基準点","１級,,３級","1point,1point",助言H23.1.12B0254東北地方整備局鳴子ダム管理所,(株)エイト日本技術開発,"H23.1.11
H23.3.22",,
宮城県,"東松島市,",数値地形図作成,"水準,カラー撮影,数値図化,同時調整","簡級,,8000,,1000,,1000","11.3km,5.4KM2,0.4KM2,4point",助言H23.1.20B0255宮城県東部土木事務所,アジア航測(株),"H23.1.17
H23.3.25",,
宮城県,"仙台市,",道路台帳,基準点,３級,27point,助言H23.1.21B0262仙台市,(株)三協技術,"H23.1.20
H23.3.14",,
宮城県,"大崎市,",道路台帳,"数値図化,既成図数値化,座標変換","1000,,1000,,1000","1.4KM2,44.7KM2,44.7KM2",助言H23.1.21B0264大崎市,国際航業(株),"H22.11.5
H23.6.30",,
宮城県,"仙台市,",都市計画,"カラー撮影,数値図修正,既成図数値化,座標変換","4000,,500,,500,,500","12KM2,0.6KM2,0.6KM2,0.6KM2",助言H23.1.25B0266仙台市,(株)センソクコンサルタント,"H23.1.19
H23.3.30",,
宮城県,"大崎市,",用水路改修,基準点,２級,8point,助言H23.2.4B0269宮城県北部地方振興事務所,(有)大和コンサルタント,"H23.1.13
H24.2.29",,
宮城県,"塩竈市,",港湾計画,数値図化,1000,2.2KM2,助言H23.2.17B0276宮城県,(株)パスコ,"H23.2.14
H23.3.25",,
宮城県,"大崎市,",用水路改修,基準点,２級,8point,助言H23.2.23B0282宮城県北部地方振興事務所,(有)旭測量設計,"H23.2.10
H24.2.29",,
宮城県,"仙台市,",道路計画,基準点,３級,4point,助言H23.2.23B0283【中止】仙台市（H23建道南第291号）,東京コンサルタンツ(株),"H23.2.23
H23.3.31",,
宮城県,"仙台市,",道路台帳基準点復旧,基準点,３級,1point,助言H23.2.28B0284仙台市,(株)秋元技術コンサルタンツ,"H23.3.1
H23.3.15",,
宮城県,"仙台市,",土地区画整理,基準点,３級,6point,助言H23.3.10B0288仙台市山田田中前土地区画整理組合,(株)オオバ,"H23.3.1
H23.10.31",,
秋田県,"湯沢市,",道路計画,"基準点,基準点","１級,,３級","1point,2point",助言H22.4.23B0012秋田県雄勝地域振興局,(株)斎藤用地調査,"H22.3.26
H22.6.30",,
秋田県,"秋田市,",固定資産,"数値撮影,数値撮影,ディジタルオルソ,ディジタルオルソ,同時調整,同時調整","8cm,,16cm,,500,,1000,,500,,1000","214KM2,712.5KM2,214KM2,712.5KM2,214KM2,712.5KM2",助言H22.5.20B0029秋田市,(株)パスコ,"H22.4.27
H23.1.28",,
秋田県,"東成瀬村,",地すべり対,基準点,２級,17point,助言H22.5.27B0030秋田県雄勝地域振興局,柴田工事調査(株),"H22.5.14
H22.12.17",,
秋田県,"湯沢市,",道路計画,数値図化,1000,6KM2,助言H22.6.1B0034秋田県雄勝地域振興局,国際航業(株),"H22.5.14
H22.8.31",,
秋田県,"由利本荘市,にかほ市,",砂防計画,"数値図化,ディジタルオルソ","2500,,2500","5.6KM2,21KM2",助言H22.6.16B0045秋田県由利地域振興局,(株)八州,"H22.5.17
H22.8.31",,
秋田県,"大仙市,",道路計画,"基準点,基準点,基準点","１級,,３級,,４級","4point,15point,54point",助言H22.6.28B0053秋田県仙北地域振興局,（株）興和技術コンサルタン,"H22.6.14
H22.12.10",,
秋田県,"由利本荘市,にかほ市,",史跡「鳥海山」地形図作成,"カラー撮影,カラー撮影,数値図化,数値図化,数値図化,空三","4000,,8000,,500,,1000,,5000,,1000","3.3KM2,5.7KM2,0.4KM2,0.3KM2,1.4KM2,15model",助言H22.7.8B0065由利本荘市,(株)パスコ,"H22.6.10
H22.12.10",,
秋田県,"潟上市,",ほ場整備,"水準,数値図化","３級,,1000","8.7km,1.3KM2",助言H22.7.26B0077潟上市,(株)ナカノアイシステム,"H22.8.2
H22.12.20",,
秋田県,"男鹿市,",ほ場整備,"水準,数値図化","３級,,1000","5km,0.8KM2",助言H22.7.29B0092男鹿市,(株)写測,"H22.7.12
H22.11.30",,
秋田県,"湯沢市,",砂防基盤図作成,"数値図化,ディジタルオルソ","2500,,2500","9.8KM2,18KM2",助言H22.8.10B0107秋田県雄勝地域振興局,(株)ナカノアイシステム,"H22.7.26
H23.2.28",,
秋田県,"横手市,",ほ場整備,"水準,数値図化","３級,,1000","4.8km,0.7KM2",助言H22.8.24B0117横手市,(株)ナカノアイシステム,"H22.8.18
H23.3.11",,
秋田県,"横手市,",ほ場整備,"水準,数値図化","３級,,1000","5.7km,0.4KM2",助言H22.8.24B0118横手市,(株)ナカノアイシステム,"H22.8.18
H23.3.11",,
秋田県,"鹿角市,",砂防基盤図作成,"数値図化,ディジタルオルソ","2500,,2500","5.4KM2,19.5KM2",助言H22.8.27B0121秋田県鹿角地域振興局,(株)中庭測量コンサルタント,"H22.7.23
H23.3.18",,
秋田県,"大仙市,",基盤整備,"水準,数値図化","３級,,1000","13km,0.9KM2",助言H22.9.7B0134大仙市,(株)北日本朝日航洋,"H22.8.19
H23.3.10",,
秋田県,"秋田市,",不動産登記法第14条第１項地図作成,"基準点,基準点","３級,,４級","1point,161point",助言H22.9.9B0133秋田地方法務局,(株)測地コンサルタント,"H22.8.2
H23.1.31",,
秋田県,"大仙市,",砂防計画,"水準,数値図化,空三,ディジタルオルソ","簡級,,2500,,2500,,2500","19.9km,1.9KM2,30model,9.8KM2",助言H22.9.10B0137秋田県仙北地域振興局,(株)写測,"H22.7.26
H23.3.18",,
秋田県,"大館市,",ほ場整備,"水準,カラー撮影,数値図化,空三","３級,,8000,,1000,,1000","5.7km,6.8KM2,0.7KM2,5model",助言H22.9.28B0145大館市,(株)ナカノアイシステム,"H22.9.15
H23.2.28",,
秋田県,"羽後町,",道路計画,"数値撮影,数値図化,同時調整","10000,,1000,,1000","8.5KM2,0.8KM2,20point",助言H22.10.6B0154秋田県雄勝地域振興局,国際航業(株),"H22.9.17
H22.12.15",,
秋田県,"北秋田市,",砂防基盤図作成,"数値図化,ディジタルオルソ","2500,,2500","5.2KM2,18.8KM2",助言H22.10.13B0161秋田県北秋田地域振興局,(株)北日本朝日航洋,"H22.7.16
H22.11.30",,
秋田県,"大館市,北秋田市,",砂防基盤図作成,"数値図化,ディジタルオルソ","2500,,2500","4.8KM2,21KM2",助言H22.10.13B0162秋田県北秋田地域振興局,東北測量(株),"H22.7.16
H22.11.30",,
秋田県,"横手市,大仙市,美郷町,",土地改良,"数値図化,編集","5000,,5000","14KM2,38.7KM2",助言H22.10.21B0175東北農政局西奥羽土地改良調査管理事務所,(株)写測,"H22.9.24
H23.1.21",,
秋田県,"能代市,",ほ場整備,"カラー撮影,数値図化,空三","8000,,1000,,1000","2.9KM2,0.7KM2,3model",助言H22.10.21B0176能代市,(株)ナカノアイシステム,"H22.10.15
H23.3.18",,
秋田県,"大館市,",森林資源調査,"航空レーザ,数値撮影","レーザ計測,,15000","20KM2,20KM2",助言H22.10.27B0183林野庁東北森林管理局,アジア航測(株),"H22.9.1
H23.3.10",,
秋田県,"秋田市,男鹿市,",道路計画,"水準,撮影,数値図化,空三","簡級,,8000,,1000,,1000","13km,12.1KM2,1.1KM2,9model",助言H22.11.4B0193秋田県秋田地域振興局,(株)北日本朝日航洋,"H22.10.22
H22.12.23",,
秋田県,"仙北市,",ダム管理,数値図化,2500,29KM2,助言H22.11.8B0197東北地方整備局玉川ダム管理所,国際航業(株),"H22.10.23
H23.2.25",,
秋田県,"八峰町,",砂防基盤図作成,"数値図化,ディジタルオルソ","2500,,2500","7.7KM2,26.3KM2",助言H22.12.15B0238秋田県山本地域振興局,(株)パスコ,"H22.10.28
H23.3.10",,
秋田県,"北秋田市,",河川計画,"水準,水準","３級,,４級","23km,5km",助言H22.11.2B0188東北地方整備局森吉山ダム工事事務所,(株)創研コンサルタント,"H22.10.20
H23.1.31",,
秋田県,"能代市,大館市,北秋田市,藤里町,三種町,五城目町,八郎潟町,大潟村,",砂防計画,"カラー撮影,空三","12500,,2500","420KM2,162point",助言H22.11.16B0210秋田県北秋田地域振興局,(株)パスコ,"H22.10.22
H23.8.31",,
秋田県,"由利本荘市,大仙市,にかほ市,湯沢市,",砂防計画,"カラー撮影,同時調整","12500,,2500","592KM2,269point",助言H22.11.19B0214秋田県由利地域振興局,(株)ナカノアイシステム,"H22.10.4
H23.3.25",,
秋田県,"大仙市,",道路台帳,"数値図修正,既成図数値化,座標変換","1000,,1000,,1000","1.9km,35.6km,35.6km",助言H22.12.8B0229大仙市,(株)パスコ,"H22.11.30
H23.3.18",,
秋田県,"湯沢市,",砂防計画,"数値図化,ディジタルオルソ","2500,,2500","13.2KM2,24KM2",助言H23.2.4B0270秋田県雄勝地域振興局,国際航業(株),"H22.12.24
H23.11.30",,
山形県,"遊佐町,",河川計画,"基準点,基準点","３級,,４級","3point,12point",助言H22.4.22B0011山形県庄内総合支庁,(株)大和エンジニア,"H22.3.23
H22.6.25",,
山形県,"山形市,",土地区画整理,基準点,４級,34point,助言H22.5.14B0020独立行政法人都市再生機構山形都市開発事務所,"(株)寒河江技術コンサルタ
ント","H22.4.27
H23.3.11",,
山形県,"山形市,",都市計画,数値図化,2500,297.7KM2,助言H22.5.27B0033山形市,(株)パスコ,"H22.4.16
H23.3.31",,
山形県,"山形市,",河川計画,"水準,路線,縦横断",４級,"1.6km,0.4km,0.4km",助言H22.7.20B0076山形県,(株)金沢総合コンサルタンツ,"H22.7.20
H22.9.30",,
山形県,"大石田町,",砂防計画,"数値図化,ディジタルオルソ","2500,,2500","0.4KM2,1.5KM2",助言H22.7.23B0079山形県村山総合支庁,朝日航洋(株),"H22.7.1
H22.9.10",,
山形県,"鶴岡市,",地すべり対策,"基準点,基準点","１級,,３級","3point,8point",助言H22.7.28B0087東北農政局庄内あさひ農地保全事業所,新和設計(株),"H22.6.29
H22.8.31",,
山形県,"米沢市,",砂防基盤図作成,"数値図化,ディジタルオルソ","2500,,2500","0.7KM2,10KM2",助言H22.7.29B0093山形県,国際航業(株),"H22.7.9
H23.1.31",,
山形県,"大蔵村,",河川用地,基準点,２級,2point,助言H22.7.30B0095東北地方整備局新庄河川事務所,(株)寒河江測量設計事務所,"H22.7.28
H22.8.30",,
山形県,"鶴岡市,",道路計画,"水準,カラー撮影,数値図化,空三","簡級,,8000,,1000,,1000","32.7km,2.7KM2,0.5KM2,2model",助言H22.8.2B0098山形県庄内総合支庁,朝日航洋(株),"H22.7.20
H22.10.12",,
山形県,"酒田市,",道路計画,"水準,数値図化,空三","簡級,,2500,,2500","17.7km,4.6KM2,7model",助言H22.8.6B0101山形県庄内総合支庁,東北測量(株),"H22.7.17
H22.10.29",,
山形県,"東根市,",土地区画整理,"基準点,基準点","３級,,４級","8point,149point",助言H22.8.27B0122東根市神町北部土地区画整理組合,(株)田村測量設計事務所,"H22.8.4
H23.3.25",,
山形県,"村山市,東根市,",河川計画,"水準,カラー撮影,数値図化,空三","簡級,,10000,,1000,,1000","18km,6.3KM2,1.9KM2,5model",助言H22.8.30B0123山形県村山総合支庁,朝日航洋(株),"H22.8.12
H22.10.15",,
山形県,"鶴岡市,",ほ場整備,基準点,２級,10point,助言H22.9.6B0130山形県,(株)石川測量事務所,"H22.9.15
H22.11.28",,
山形県,"米沢市,南陽市,川西町,",道路計画,"水準,カラー撮影,数値図化,空三","簡級,,10000,,1000,,1000","7.5km,44KM2,4.2KM2,22model",助言H22.9.30B0150山形県,三和航測(株),"H22.10.1
H22.12.24",,
山形県,"酒田市,遊佐町,",砂防計画,"数値図化,ディジタルオルソ","2500,,2500","0.1KM2,1.5KM2",助言H22.10.12B0160山形県庄内総合支庁,朝日航洋(株),"H22.8.26
H23.2.28",,
山形県,"小国町,",砂防計画,"基準点,基準点","２級,,４級","2point,16point",助言H22.10.13B0159北陸地方整備局飯豊山系砂防事務所,北斗測量調査(株),"H22.10.4
H22.10.29",,
山形県県境秋田県,"遊佐町,県境にかほ市,",道路計画,"水準,数値撮影,数値図化,同時調整","簡級,,13cm,,1000,,1000","7.4km,15.7KM2,3.4KM2,27point",助言H22.10.13B0158東北地方整備局酒田河川国道事務所,(株)ナカノアイシステム,"H22.10.4
H23.1.28",,
山形県,"山形市,",地盤変動調査,水準,２級,31.5km,助言H22.10.15B0170山形市,(株)田村測量設計事務所,"H22.11.1
H23.3.31",,
山形県,"米沢市,",地盤変動調査,水準,２級,54.6km,助言H22.10.15B0171米沢市,(株)春日測量設計,"H22.10.18
H22.12.10",,
山形県,"鶴岡市,",地すべり対策,"基準点,基準点,基準点","１級,,３級,,４級","2point,6point,65point",助言H22.10.21B0177東北農政局庄内あさひ農地保全事業所,新和設計(株),"H22.10.5
H23.3.25",,
山形県県境福島県,"飯豊町,県境喜多方市,",砂防計画,"カラー撮影,数値図化,ディジタルオルソ","12500,,2500,,2500","69KM2,1.2KM2,6KM2",助言H22.11.8B0196山形県置賜総合支庁,アジア航測(株),"H22.9.29
H23.1.12",,
山形県,"東根市,",道路計画,"水準,数値図化,空三","簡級,,1000,,1000","7.9km,0.3KM2,1model",助言H22.11.19B0215山形県村山総合支庁,朝日航洋(株),"H22.11.9
H23.1.20",,
山形県,"新庄市,舟形町,",道路計画,"水準,カラー撮影,カラー撮影,数値図化,空三","簡級,,4000,,12500,,2500,,2500","19.5km,1KM2,6.6KM2,1.7KM2,2model",助言H22.11.22B0221山形県最上総合支庁,朝日航洋(株),"H22.11.9
H23.2.18",,
山形県,"山形市,",河川計画,"水準,カラー撮影,数値図化,空三","簡級,,8000,,1000,,1000","26.2km,5.4KM2,0.8KM2,4model",助言H22.11.22B0222山形県村山総合支庁,朝日航洋(株),"H22.11.15
H23.2.25",,
山形県,"真室川町,鮭川村,",道路計画,"水準,カラー撮影,数値図化,空三","簡級,,8000,,1000,,1000","57km,8KM2,1.3KM2,6model",助言H22.12.8B0231山形県最上総合支庁,朝日航洋(株),"H22.11.22
H23.3.10",,
山形県,"小国町,長井市,",砂防計画,"航空レーザ,航空レーザ,航空レーザ,航空レーザ","レーザ計測,,グラウンドデータ,,グリッドデータ,,等高線データ","176KM2,176KM2,176KM2,176KM2",助言H22.12.20B0242北陸地方整備局飯豊山系砂防,朝日航洋(株),"H22.11.10
H23.3.18",,
山形県,"村山市,東根市,",道路計画,"基準点,数値図化,空三","簡級,,1000,,1000","5.8km,0.3KM2,2model",助言H22.12.27B0247山形県村山総合支庁,朝日航洋(株),"H22.12.20
H23.2.15",,
山形県,"鶴岡市,",２級基準点復旧,基準点,２級,1point,助言H23.1.20B0259東北地方整備局酒田河川国道事務所,(有)月山測量設計,"H23.1.7
H23.3.15",,
山形県,"高畠町,",道路計画,基準点,４級,22point,助言H23.1.25B0267山形県,(株)春日測量設計,"H22.9.25
H23.2.10",,
山形県,"高畠町,",道路計画,基準点,３級,4point,助言H23.2.4B0273山形県置賜総合支庁,(株)ケンコン,"H22.10.1
H23.2.28",,
山形県,"新庄市,大石田町,金山町,舟形町,真室川町,大蔵村,鮭川村,戸沢村,庄内町,",河川管理,"基準点,基準点","１級,,３級","26point,3point,,,",助言H23.3.3B0287東北地方整備局新庄河川事務所,(株)三和技建,"H22.10.9
H23.3.25",,
山形県,"最上町,",砂防計画,"基準点,基準点,水準","３級,,４級,,４級","3point,15point,2km",助言H22.6.23B0046山形県最上総合支庁,(株)大成技術コンサルタント,"H22.6.16
H22.12.17",,
山形県,"鶴岡市,",道路計画,"基準点,基準点","３級,,４級","2point,3point",助言H22.6.25B0047山形県,両羽測量(株),"H22.7.5
H22.8.20",,
山形県,"新庄市,",農業振興地域整備計画,"数値撮影,ディジタルオルソ,数値図化,数値図化,数値図化,同時調整","10000,,1000,,2500,,5000,,10000,,1000","223.1KM2,223.1KM2,49KM2,107.5KM2,66.6KM2,745point",助言H22.7.12B0066新庄市,国際航業(株),"H22.6.25
H25.3.15",,
山形県,"天童市,",土地区画整理,"基準点,基準点,基準点","２級,,３級,,４級","3point,16point,90point",助言H22.7.26B0085天童市,三協コンサルタント(株),"H22.6.18
H23.3.10",,
山形県,"鶴岡市,",道路台帳,基準点,３級,2point,助言H22.8.2B0096山形県庄内総合支庁,(株)鈴木測量事務所,"H22.8.17
H22.9.30",,
山形県,"鶴岡市,",道路台帳,基準点,３級,3point,助言H22.8.2B0097山形県庄内総合支庁,(株)鈴木久測量設計事務所,"H22.8.9
H22.9.10",,
山形県,"大蔵村,",砂防計画,"基準点,基準点","３級,,４級","2point,6point",助言H22.8.3B0099山形県最上総合支庁,(株)北都測量設計,"H22.8.2
H22.9.30",,
山形県,"朝日町,",道路計画,基準点,３級,3point,助言H22.8.11B0108朝日町,(株)三和技術コンサルタント,"H22.7.1
H22.9.30",,
山形県,"山形市,",登記所備付地図作成,基準点,４級,196point,助言H22.8.31B0124山形地方法務局,せいの測量設計事務所,"H22.8.23
H22.11.30",,
山形県,"新庄市,大蔵村,鮭川村,戸沢村,",河川計画,"カラー撮影,数値図化,ディジタルオルソ","12500,,2500,,2500","95KM2,52.5KM2,76KM2",助言H22.10.14B0167東北地方整備局新庄河川事務所,(株)パスコ,"H22.9.16
H23.2.28",,
山形県,"鶴岡市,",道路台帳,"基準点,基準点","３級,,４級","4point,7point",助言H22.11.15B0203山形県庄内総合支庁,(有)アース測量,"H22.11.15
H22.12.24",,
山形県,"大石田町,",道路計画,"基準点,水準","３級,,３級","8point,11km",助言H22.12.8B0230山形県村山総合支庁,(株)菅野測量設計,"H22.11.4
H23.1.31",,
山形県,"山形市,",河川計画,"基準点,水準","４級,,４級","22point,1.7km",助言H22.12.13B0234山形県,(株)金沢総合コンサルタンツ,"H22.12.10
H23.3.31",,
山形県,"山形市,上山市,天童市,山辺町,中山町,寒河江市,東根市,",砂防基盤図作成,"数値図化,ディジタルオルソ","2500,,2500","4KM2,27.8KM2",助言H22.12.20B0241山形県村山総合支庁,(株)パスコ,"H22.12.13
H23.3.18",,
山形県,"山形市,",河川計画,"基準点,基準点,水準,基準点","３級,,４級,,３級,,２級","6point,25point,5.6km,2point",助言H22.12.28B0249山形県,新和設計(株),"H22.12.24
H23.2.25",,
山形県,"寒河江市,",土地区画整理,"基準点,基準点,基準点","２級,,３級,,４級","3point,8point,85point",助言H23.1.21B0263寒河江市木の下土地区画整理組合,三協コンサルタント(株),"H22.12.2
H23.3.25",,
山形県,"鶴岡市,",道路計画,数値図化,1000,0.8KM2,助言H23.2.4B0271東北地方整備局酒田河川国道事務所,国際航業(株),"H23.1.21
H23.3.15",,
山形県,"山形市,上山市,",土地区画整理,基準点,４級,10point,助言H23.2.21B0279独立行政法人都市再生機構山形都市開発事務所,東北測量設計(株),"H23.2.21
H23.12.20",,
山形県,"鶴岡市,",街区基準点復旧,"基準点,基準点","街区三角点,,街区多角点","1point,2point",助言H23.2.21B0280【中止】鶴岡市（都発第203号）,(株)石川測量事務所,"H23.2.15
H23.3.28",,
山形県,"東根市,",道路計画,基準点,３級,7point,助言H23.3.1B0285山形県村山総合支庁,(株)三和技建,"H23.1.20
H23.3.25",,
福島県,"伊達市,",道路計画,"航空レーザ,航空レーザ,航空レーザ,航空レーザ,ディジタルオルソ","レーザ計測,,グラウンドデータ,,グリッドデータ,,等高線データ,,2500","65KM2,65KM2,65KM2,65KM2,65KM2",助言H22.4.20B0008東北地方整備局福島河川国道事務所,国際航業(株),"H22.3.9
H22.7.30",,
福島県,"郡山市,",固定資産現況調査,"数値撮影,ディジタルオルソ,同時調整","10000,,1000,,1000","731.1KM2,731.1KM2,1912point",助言H22.5.12B0017郡山市,朝日航洋(株),"H22.4.23
H23.3.25",,
