都道府県名,測量地域,測量目的,測量種別,等級・縮尺,事業量,計画機関,実施機関,作業期間,付図番号,,,,,,～の有無,2018.01.10地名修正
群馬県,富士見村,道路台帳,"撮影,図化","8000,,1000","69.6KM2,17.9KM2",富士見村,技研測量設計,"58.11.10,62.3.10",1092,,,,「全域」削除,,,
群馬県,嬬恋村,土地改良,"撮影,図化","8000,,1000","15.0KM2,5.8KM2",嬬恋村,中庭測量,"58.10.20,59.3.10",791,,,,,,,
群馬県,伊香保町,都市計画,"撮影,図化","12500,,2500","56.0KM2,22.3KM2",伊香保町,関東測量,"58.6.1,59.4.30",247,,,,「全域」削除,,,
群馬県,大間々町,都市計画,"撮影,図化修正","12500,,2500","115.7KM2,47.0KM2",大間々町,朝日航空企業,"58.8.25,58.11.30",539,図化修正,,,,,,
群馬県,赤堀村,都市計画,"撮影,図化","30000,,10000","80.0KM2,24.5KM2",赤堀村,関東測量,"58.8.20,58.11.26",545,,,,「全域」削除,,,
群馬県,松井田町,都市計画,編集,10000,174.2KM2,松井田町,朝日航洋,"59.2.1,59.3.25",1285,,,,「全域」削除,,,
群馬県,松井田町,鉄道計画,図化,500,0.8KM2,日本鉄道建設公団関東支社,パスコ,"59.1.18,59.3.21",,,,,,,,
群馬県,宮城村,都市計画,図化,2500,5.0KM2,宮城村,関東測量,"59.1.12,59.3.31",1349,,,,,,,
群馬県,甘楽町,総合計画,図化修正,10000,58.5KM2,甘楽町,関東測量,"58.7.10,58.10.10",707,図化修正,,,「全域」削除,,,
群馬県,尾島町,区画整理,平板,500,0.3KM2,尾島町,両毛測量,"58.6.1,58.10.30",,,,,,,,
埼玉県,戸田市,都市計画,"基準点,基準点","1級,,2級","9point,13point",戸田市,第一航業,"58.11.21,59.2.25",,,,,,,,
埼玉県,三郷市,道路台帳,基準点,1級,29point,三郷市,国際航業,"58.7.18,59.2.29",,,,,「全域」削除,,,
埼玉県,川本町,道路台帳,基準点,1級,13point,川本町,昭和測量工業,"58.9.20,58.10.31",,,,,,,,
埼玉県,白岡町,道路台帳,基準点,1級,21point,白岡町,昭和測量工業,"59.1.20,59.3.31",,,,,「全域」削除,,,
埼玉県,上尾市,道路台帳,基準点,2級,57point,上尾市,国際航業,"58.8.25,59.3.19",,,,,「全域」削除,,,
埼玉県,行田市,道路台帳,基準点,2級,2point,行田市,昭和測量工業,"58.10.24,59.3.20",,,,,,,,
埼玉県,飯能市,区画整理,基準点,2級,5point,飯能市,日本測地設計,"58.8.5,59.3.10",,,,,,,,
埼玉県,吉川町,区画整理,"基準点,平板","2級,,500","5point,0.9KM2",住宅都市整備公団首都圏都市開発,朝日測量設計,"59.4.1,59.8.31",,,,,,,,
埼玉県,日高町,道路台帳,"平板,基準点","500,,3級","1.3KM2,8point",日高町,平和測量,"58.7.16,59.2.29",,,,,,,,
埼玉県,,地盤変動,水準,1級,2628.0km,埼玉県,朝日航洋,"58.11.19,59.2.28",919,,,「県」削除,,,,
埼玉県,春日部市,都市計画,水準,3級,162.0km,春日部市,昭和測量工業,"58.9.24,59.2.20",,,,,「全域」削除,,,
埼玉県,戸田市,都市計画,"カラー撮影,カラー撮影,図化,編集,編集,編集","4000,,12500,,2500,,5000,,10000,,20000","30.0KM2,30.0KM2,18.0KM2,18.0KM2,18.0KM2,18.0KM2",戸田市,太平洋航業,"58.8.3,58.12.6",489,撮影(カラー)→カラー撮影,,,「全域」削除,,,
埼玉県,所沢市,道路台帳,"撮影,図化","4000,,500","53.9KM2,17.1KM2",所沢市,朝日航洋,"59.2.1,62.3.31",1353,,,,,,,
埼玉県,江南村,道路台帳,"撮影,図化","4000,,500","16.0KM2,7.4KM2",江南村,関東測量,"58.7.11,59.2.29",792,,,,,,,
埼玉県,"加須市,羽生市",道路改良,"撮影,図化","8000,,1000","14.4KM2,0.7KM2",埼玉県行田土木事務所,太平洋航業,"59.2.3,59.3.21",,,,,「地内」削除,,,
埼玉県,三郷市,河川改修,"撮影,図化","8000,,1000","31.2KM2,1.2KM2",埼玉県越谷土木事務所,太平洋航業,"58.12.21,59.3.25",1212,,,地名修正,,,,
埼玉県,"神川村,上里町",ほ場整備,"撮影,図化","8000,,1000","14.2KM2,3.2KM2",埼玉県本庄土地改良事務所,日東航空測量,"58.9.28,59.1.30",784,,,,,,,
埼玉県,妻沼町,ほ場整備,"撮影,図化","8000,,1000","8.3KM2,2.3KM2",埼玉県深谷土地改良事務所,日東航空測量,"58.6.10,58.7.25",,,,,,,,
埼玉県,朝霞市,都市計画,"撮影,図化","12500,,2500","35.0KM2,17.8KM2",朝霞市,八洲,"58.4.30,58.11.30",38,,,,「全域」削除,,,
埼玉県,岩槻市,都市計画,"撮影,図化,編集,編集","12500,,2500,,10000,,20000","70.0KM2,50.0KM2,50.0KM2,50.0KM2",岩槻市,日東航空測量,"58.6.1,58.11.30",541,,,,「全域」削除,,,
埼玉県,鷲宮町,都市計画,"撮影,図化","12500,,2500","13.7KM2,13.7KM2",鷲宮町,大洋画地測量,"58.12.20,59.3.31",1157,,,,「全域」削除,,,
埼玉県,"熊谷市,行田市,加須市",河川改修,"撮影,図化","12500,,2500","43.0KM2,5.0KM2",埼玉県南部河川改修事務所,アジア航測,"58.12.23,59.3.10",1150,,,,,,,
埼玉県,両神村,森林計画,撮影(対標有),16000,249.0KM2,埼玉県,セントラル航業,"58.5.10,58.10.31",140,,,「ほか」削除,,,,
埼玉県,大滝村,電源開発,"撮影,図化","20000,,5000","34.0KM2,3.1KM2",新エネルギー財団水力本部,アジア航測,"58.9.16,59.3.10",739,,,,,,,
埼玉県,草加市,道路台帳,図化,500,2.2KM2,草加市,アジア航測,"58.10.24,59.2.29",,,,,「全域」削除,,,
埼玉県,羽生市,都市計画,図化,2500,23.5KM2,羽生市,オオパ,"58.5.17,58.9.30",165,,,,,,,
埼玉県,大滝村,ダム調査,"図化新規,図化修正","5000,,5000","4.0KM2,6.7KM2",関東地建荒川上流工事事務所,アジア航測,"58.9.15,58.10.29",706,図化修正,,地名修正,,,,
埼玉県,熊谷市,道路台帳,平板,500,1.1KM2,熊谷市,昭和測量工業,"59.2.9,59.3.25",,,,,,,,
埼玉県,与野市,"道路台帳,水道台帳","平板,平板","500,,250","0.2KM2,0.2KM2",与野市,国際航業,"58.4.23,58.11.15",,,,,,,,
埼玉県,飯能市,区画整理,平板,500,0.6KM2,飯能市,八洲,"58.11.10,59.3.20",,,,地名修正,,,,
埼玉県,飯能市,区画整理,平板,500,0.4KM2,飯能市,昭和測量工業,"58.11.10,59.3.20",,,,地名修正,,,,
埼玉県,鳩ケ谷市,区画整理,"平板,平板","500,,1000","1.8KM2,1.8KM2",鳩ヶ谷市,昭和測量,"58.7.1,59.3.31",,,,,,,,地名修正
埼玉県,大井町,区画整理,平板,500,0.2KM2,大井町鶴ヶ岡特定土地区画整理組合,昭和測量工業,"58.5.20,58.10.31",,,,地名修正,,,,大月は大井のミスか
埼玉県,小鹿野町,森林計画,写図,5000,75.0KM2,埼玉県,セントラル航業,"59.2.15,59.3.15",1211,,,,「外」削除,,,
千葉県,九十九里町,道路台帳,"基準点,撮影,図化","1級(フリー),,4000,,500","24point,30.0KM2,23.0KM2",九十九里町,パスコ,"58.12.16,60.12.19",1272,,,,「全域」削除,,,
千葉県,酒々井町,道路台帳,"基準点,基準点","1級,,2級","15point,25point",酒々井町,高木測量,"58.10.1,59.2.25",,,,,「全域」削除,,,
千葉県,旭市,道路台帳,"基準点,基準点,平板","2級,,3級,,500","40point,250point,0.12KM2",旭市,つくも測量,"59.3.1,61.10.31",,,,,「全域」削除,,,
千葉県,市川市,道路台帳,基準点,2級,74point,市川市,大東測量,"59.1.27,59.3.24",,,,,「全域」削除,,,
千葉県,柏市,道路台帳,基準点,2級,55point,柏市,国内調査測量,"58.10.1,59.7.31",,,,,,,,
千葉県,白井町,道路台帳,基準点,2級,40point,白井町,京葉測量,"58.12.27,59.3.25",,,,,「全域」削除,,,
千葉県,光町,道路台帳,"基準点,撮影,図化","2級,,8000,,1000","49point,54.0KM2,33.4KM2",光町,国際航業,"58.12.9,60.11.30",1210,,,,「全域」削除,,,
千葉県,柏市,下水道台帳,基準点,2級,27point,柏市,国内調査測量,"58.6.25,58.9.25",,,,,,,,
千葉県,千葉市,区画整理,"基準点,平板","2級,,500","2point,0.1KM2",千葉市,石川測量設計,"58.8.1,59.1.20",,,,,,,,
千葉県,睦沢町,道路台帳,"基準点,平板","3級,,500","60point,9.5KM2",睦沢町,ふさ測量,"58.12.16,61.10.31",,,,,「全域」削除,,,
千葉県,,地盤沈下,水準,1級,2365.0km,千葉県,"八州,東日本航空,京葉測量,協立コンサルタント","58.11.17,59.3.26",957,,,「地域」修正,,,,
千葉県,船橋市,港湾計画,水準,1級,26.1km,第二港湾建設局千葉港工事事務所,出雲測量設計事務所,"59.2.29,59.3.30",,,,地名修正,,,,
千葉県,大網白里町,都市計画,"撮影,図化","4000,,500","9.2KM2,1.4KM2",大網白里町,パスコ,"58.10.16,59.3.26",884,,,,,,,
千葉県,勝浦市,道路台帳,"撮影,図化","4000,,500","1.1KM2,0.2KM2",勝浦市,写測,"58.9.27,59.2.29",,,,,,,,
千葉県,東金市,道路台帳,"撮影,撮影,図化,図化","4000,,8000,,500,,1000","22.7KM2,90.0KM2,22.7KM2,42.9KM2",東金市,"国際航業,つくも測量,共同企業体","58.11.15,61.1.31",1096,,,,「全域」削除,,,
千葉県,栄町,道路台帳,"撮影,撮影,図化,図化","4000,,8000,,500,,1000","2.5KM2,19.3KM2,1.8KM2,4.1KM2",栄町,アジア航測,"58.11.23,61.3.31",1286,,,,「全域」削除,,,
千葉県,多古町,道路台帳,"撮影,図化","4000,,500","90.0KM2,16.8KM2",多古町,国際航業,"58.9.16,60.1.31",713,,,,「全域」削除,,,
千葉県,富山町,道路台帳,"撮影,図化","4000,,500","40.0KM2,3.3KM2",富山町,パスコ,"59.1.31,60.10.31",1271,,,,「全域」削除,,,
千葉県,丸山町,道路台帳,"撮影,図化","4000,,500","44.4KM2,3.5KM2",丸山町,パスコ,"58.5.20,59.2.29",218,,,,「全域」削除,,,
千葉県,長生村,道路台帳,"撮影,図化","4000,,500","28.8KM2,9.1KM2",長生村,パスコ,"59.2.22,61.12.25",1357,,,,「全域」削除,,,
千葉県,松戸市,河川改修,"撮影,図化","4000,,500","2.0KM2,0.4KM2",松戸市,アジア航測,"59.2.11,59.3.25",,,,,,,,
千葉県,八千代市,道路計画,"撮影,撮影,図化,図化修正","4000,,10000,,500,,2500","2.0KM2,36.0KM2,0.2KM2,14.0KM2",八千代市,写測,"58.12.29,59.3.24",1274,図化修正,,,,,,
千葉県,佐原市,道路台帳,"撮影,図化","8000,,1000","12.5KM2,6.0KM2",佐原市,新日本測量設計,"59.1.12,59.3.15",1275,,,,,,,
千葉県,神崎町,"道路台帳,土地改良","撮影,図化","8000,,1000","35.0KM2,5.8KM2",神崎町,コクサイ航測,"58.10.21,59.7.31",888,,,,「全域」削除,,,
千葉県,千倉町,道路台帳,"撮影,図化","8000,,1000","36.3KM2,3.1KM2",千倉町,バスコ,"58.10.24,59.3.25",783,,,,「全域」削除,,,
千葉県,下総町,道路台帳,"撮影,図化","8000,,1000","36.0KM2,5.3KM2",下総町,アジア航測,"58.6.30,59.1.31",381,,,,「全域」削除,,,
千葉県,白浜町,道路台帳,"撮影,図化","8000,,1000","17.0KM2,3.5KM2",白浜町,パスコ,"58.6.1,59.2.28",217,,,,「全域」削除,,,
千葉県,野栄町,道路台帳,"撮影,図化","8000,,1000","20.4KM2,12.1KM2",野栄町,アジア航測,"58.10.1,60.5.31",740,,,,「全域」削除,,,
千葉県,干潟町,道路台帳,"撮影,図化","8000,,1000","32.6KM2,11.1KM2",干潟町,第一航業,"59.2.2,59.3.31",1308,,,,「全域」削除,,,
千葉県,三芳村,道路台帳,"撮影,図化","8000,,1000","49.4KM2,2.9KM2",三芳村,アジア航測,"58.10.13,59.3.10",796,,,,「全域」削除,,,
千葉県,野田市,農地開発,"撮影,図化","8000,,1000","6.0KM2,3.0KM2",野田市,中庭測量,"58.11.10,59.3.10",954,,,,,,,
千葉県,松戸市,都市計画,"撮影,図化","12500,,2500","47.2KM2,24.0KM2",松戸市,国際航業,"58.10.4,59.3.5",887,,,,「全域」削除,,,
千葉県,印西町,市街地開発,"撮影,図化","12500,,2500","182.0KM2,117.0KM2",千葉県企業庁ニュータウン整理部,京葉測量,"58.6.2,58.11.28",442,,,,,,,
千葉県,鎌ケ谷市,道路台帳,図化,500,0.7KM2,鎌ヶ谷市,国際航業,"58.5.10,58.12.25",,,,,,,,地名修正
千葉県,館山市,道路台帳,図化,1000,8.8KM2,館山市,パスコ,"58.7.8,59.3.15",,,,,,,,
千葉県,鋸南町,ほ場整備,図化,1000,4.5KM2,鋸南町,国際航業,"58.8.10,58.11.30",,,,,,,,
千葉県,東金市,区画整理,平板,500,1.1KM2,東金市,八州,"58.7.15,59.3.25",,,,,,,,
千葉県,千葉市,区画整理,平板,500,0.7KM2,千葉市,日測,"58.5.25,59.3.31",,,,,,,,
千葉県,四街道市,区画整理,平板,500,1.4KM2,住宅都市整備公団首都圏都市開発本部,大和測量,"58.9.16,59.6.30",,,,,,,,
千葉県,千葉市,区画整理,平板,500,0.8KM2,住宅都市整備公団首都圏都市開発本部,大洋測量設計社,"58.11.25,59.5.31",,,,地名修正,,,,
千葉県,館山市,写真地図,写図,5000,172.5KM2,千葉県,パスコ,"58.5.1,58.7.31",58,,,地名修正,「地区」削除,,,
東京都,八王子市,都市計画,基準点,1級(フリー),75point,八王子市,パスコ,"58.6.1,58.9.30",,,,,「全域」削除,,,
東京都,練馬区,都市計画,基準点,2級,45point,練馬区,練馬測量業協組,"58.7.29,58.12.21",,,,,「全域」削除,「区」削除,,
東京都,"町田市,八王子市,多摩市",宅地開発,基準点,2級,54point,住宅都市整備公団南多摩開発局,"大成測量,富士測量設計","58.12.15,59.3.31",,,,,,,,
東京都,小金井市,都市計画,基準点,3級,77point,小金井市,大輝測量,"58.10.1,59.3.17",,,,,「全域」削除,,,
東京都,足立区,"地盤変動,道路台帳",水準,1級,110.0km,足立区,オオバ,"59.1.17,59.3.14",,,,,,「区」削除,,
東京都,"昭島市,あきる野市,稲城市,清瀬市,国立市,小金井市,国分寺市,小平市,狛江市,立川市,多摩市,調布市,西東京市,羽村市,東久留米市,東村山市,東大和市,日野市,府中市,福生市,町田市,三鷹市,武蔵野市,武蔵村山市,足立区,荒川区,板橋区,江戸川区,大田区,葛飾区,北区,江東区,品川区,渋谷区,新宿区,杉並区,墨田区,世田谷区,台東区,中央区,千代田区,豊島区,中野区,練馬区,文京区,港区,目黒区",地盤変動,水準,1級,986.0km,東京都土木技術研究所,"日本測量,八州","58.10.1,59.3.31",558,,,,「全域」削除，地名修正,,,
東京都,"江東区,中央区,港区,品川区,大田区",地盤沈下,水準,1級,230.0km,東京都港湾局,共立コンサルタント,"58.10.20,59.3.31",711,,,,「全域」削除,「区」削除,,
東京都,練馬区,鉄道計画,"撮影,図化","3000,,500","15.0KM2,9.5KM2",東京都交通局,パスコ,"58.5.15,58.9.30",,,,,,「区」削除,,
東京都,墨田区,都市計画,"撮影,図化,編集","4000,,500,,1000","2.3KM2,0.5KM2,0.5KM2",墨田区,パスコ,"58.8.15,58.12.20",,,,,,「区」削除,,
東京都,多摩市,都市計画,"カラー撮影,撮影,図化修正,図化","10000,,4000,,2500,,500","49.5KM2,2.8KM2,20.7KM2,0.2KM2",多摩市,国際航業,"58.6.20,59.1.31",219,図化修正&撮影(カラー)→カラー撮影,,,「全域」削除,,,
東京都,小平市,下水道計画,"撮影,図化","4000,,500","12.0KM2,6.6KM2",小平市,パスコ,"58.4.30,58.10.3",146,,,「他～」削除,,,,
東京都,昭島市,下水道台帳,"撮影,図化","4000,,500","4.7KM2,1.3KM2",昭島市,八州,"58.11.8,59.3.31",,,,,,,,
東京都,東村山市,下水道台帳,"撮影,図化","4000,,500","3.3KM2,0.2KM2",東村山市,パスコ,"58.11.25,59.3.24",,,,,,,,
東京都,奥多摩町,道路台帳,"撮影,図化","8000,,1000","226.4KM2,3.2KM2",奥多摩町,国際航業,"58.12.3,59.3.31",1037,,,,「全域」削除,,,
東京都,,都市計画,"撮影,図化修正","10000,,2500","375.0KM2,375.0KM2",東京都,アジア航測,"58.8.15,59.3.15",444,図化修正,,,地名修正,,,
東京都,神津島村,都市計画,"撮影,図化","12500,,2500","18.6KM2,18.6KM2",東京都,国際航業,"58.9.6,59.2.15",548,,,,「全域」削除,,,
東京都,三宅村,都市計画,"撮影,図化","12000,,2500","55.1KM2,55.1KM2",東京都,国際航業,"59.1.19,59.7.31",1117,,,,「全域」削除,,,島→村
東京都,青ケ島村,都市計画,"撮影,図化","12500,,2500","5.4KM2,5.4KM2",青ヶ島村,朝日航洋,"58.10.26,59.2.29",,,,,「全域」削除,,,地名修正
東京都,"秋川市,青梅市",道路計画,図化,1000,0.7KM2,東京都西多摩建設事務所,八州,"59.2.22,59.3.30",,,,地名修正,,,,
東京都,練馬区,道路区域,"平板,平板","250,,500","47.0KM2,47.0KM2",練馬区,練馬測量業協同組合,"58.4.30,59.3.31",,◎_平板修正,,,,「区」削除,,
東京都,江戸川区,道路台帳,平板,500,3.7KM2,江戸川区,大洋測量設計社他4社,"58.5.9,59.1.30",,,,,,「区」削除,,
東京都,葛飾区,道路台帳,平板,500,1.4KM2,葛飾区,"第一航業,大坪測量事務所,八州","58.5.10,59.2.3",,,,,,「区」削除,,
東京都,葛飾区,道路台帳,平板,500,0.5KM2,葛飾区,八州,"58.8.22,59.2.2",,,,,,「区」削除,,
東京都,町田市,道路台帳,平板,500,0.1KM2,町田市,大協測量,"58.5.7,59.3.15",,,,地名修正,,,,
東京都,東村山市,道路台帳,平板,500,0.4KM2,東村山市,"八千代測量,大和測量","58.8.11,59.2.29",,,,「他～」削除,,,,
東京都,葛飾区,道路台帳,平板,500,0.3KM2,葛飾区,第一航業,"58.5.14,58.12.15",,,,,,「区」削除,,
東京都,葛飾区,道路台帳,平板,500,0.6KM2,葛飾区,大坪測量事務所,"58.6.18,58.12.15",,,,,,「区」削除,,
東京都,三宅村,宅地造成,平板,500,0.2KM2,三宅村,第一航業,"59.2.24,59.3.30",,,,「他～」削除,,,,
神奈川県,平塚市,都市計画,"基準点,基準点","1級,,2級","28point,52point",平塚市,アジア航測,"58.8.9,59.3.30",,,,,「全域」削除,,,
神奈川県,横浜市,都市計画,基準点,1級,160point,横浜市,"国際航業,第一航業","58.6.1,59.3.31",,,,,,,,
神奈川県,海老名市,道路台帳,基準点,2級,23point,海老名市,松岡測量設計,"58.7.25,58.10.22",,,,,,,,
神奈川県,小田原市,道路台帳,"基準点,撮影,図化","2級,,4000,,500","83point,80.6KM2,18.4KM2",小田原市,パスコ,"58.10.21,61.3.31",1095,,,,,,,
神奈川県,秦野市,道路台帳,基準点,2級,67point,秦野市,湘南測量設計,"58.8.15,59.2.18",,,,,「全域」削除,,,
神奈川県,横浜市,都市計画,基準点,2級,130point,横浜市,パスコ他5社,"58.12.15,59.3.31",,,,,地名修正,,,
神奈川県,綾瀬市,道路台帳,基準点,3級,133point,綾瀬市,渋谷測量,"58.10.1,59.2.20",,,,,「全域」削除,,,
神奈川県,相模原市,道路台帳,"基準点,平板","3級,,500","2point,0.5KM2",相模原市,柚木測量,"59.2.6,59.3.31",,,,地名修正,,,,
神奈川県,藤沢市,土地改良,基準点,3級,9point,藤沢町鵠沼耕地整理組合,昭和測量工業,"58.11.22,58.12.20",,,,地名修正,,,,
神奈川県,横浜市,公園建設,"基準点,平板","4級,,500","5point,0.2KM2",横浜市緑政局,創和測量工務,"58.4.26,58.7.24",,,,,,「区」削除,,
神奈川県,厚木市,地盤沈下,水準,1級,38.5km,厚木市,三枝測量,"58.10.1,59.3.31",448,,,,,,,
神奈川県,海老名市,地盤沈下,水準,1級,66.0km,海老名市,パスコ,"58.10.1,59.1.31",562,,,,「全域」削除,,,
神奈川県,寒川町,地盤沈下,水準,1級,22.0km,寒川町,三枝測量設計,"58.11.1,59.3.10",742,,,,「全域」削除,,,
神奈川県,茅ケ崎市,地盤沈下,水準,1級,60.0km,茅ヶ崎市,パスコ,"58.11.1,59.3.15",743,,,,「全域」削除,,,地名修正
神奈川県,藤沢市,地盤沈下,水準,1級,36.0km,藤沢市,三枝測量設計,"58.11.1,59.2.29",561,,,,「全域」削除,,,
神奈川県,平塚市,地盤沈下,水準,1級,127.2km,平塚市,三枝測量設計,"58.10.27,59.3.20",917,,,,「全域」削除,,,
神奈川県,横浜市,地盤沈下,水準,1級,531.0km,横浜市,東日本航空,"58.11.20,59.3.10",916,,,,,,,
神奈川県,鎌倉市,地盤変動,水準,1級,8.1km,鎌倉市,東日本航空,"58.12.1,59.3.30",886,,,,,,,
神奈川県,川崎市,地盤変動,水準,1級,280.0km,川崎市,八州,"58.10.1,59.3.31",559,,,,「全域」削除,,,
神奈川県,二宮町,道路台帳,"撮影,図化","4000,,500","9.0KM2,2.6KM2",二宮町,写測,"58.11.20,60.3.31",961,,,,「全域」削除,,,
神奈川県,"横浜市,藤沢市",道路計画,"撮影,図化","7000,,1000","37.7KM2,4.2KM2",日本道路公団東京第一建設局,八州,"58.9.17,59.2.13",,,,,,「区」削除,,
神奈川県,"鎌倉市,藤沢市,茅ケ崎市,大和市,海老名市,座間市,綾瀬市,寒川町,横須賀市,逗子市,三浦市,葉山町,相模原市,秦野市,厚木市,伊勢原市,愛川町,清川村,南足柄市,中井町,大井町,松田町,山北町,開成町",道路台帳,"撮影,空三","8000,,8000","1321.5KM2,1321.5KM2",神奈川県,パスコ,"58.11.28,59.2.29",1094,撮影(空三有)→撮影と空三を別々にした,測量地域修正,,,,,地名修正
神奈川県,川崎市,都市計画,撮影,10000,270.0KM2,川崎市,国際航業,"58.12.20,59.2.29",447,,,,「全域」削除,,,
神奈川県,平塚市,都市計画,"撮影,図化","11000,,2500","117.0KM2,67.9KM2",平塚市,アジア航測,"58.4.20,58.7.31",96,,,,「全域」削除,,,
神奈川県,綾瀬市,都市計画,"撮影,図化","12500,,2500","22.2KM2,22.2KM2",綾瀬市,パスコ,"58.11.22,59.3.20",986,,,,「全域」削除,,,
神奈川県,相模原市,都市計画,"撮影,図化","12500,,2500","130.0KM2,90.8KM2",相模原市,パスコ,"58.4.28,58.12.31",57,,,,「全域」削除,,,
神奈川県,相模湖町,都市計画,"撮影,図化","12500,,2500","36.0KM2,30.4KM2",相模湖町,八州,"58.5.2,58.12.25",142,,,,「全域」削除,,,
神奈川県,寒川町,都市計画,"撮影,図化新規,図化修正","12500,,2500,,2500","32.0KM2,2.0KM2,11.2KM2",寒川町,アジア航測,"58.8.4,58.10.31",483,図化修正,,,「全域」削除,,,
神奈川県,茅ケ崎市,都市計画,"撮影,図化","12500,,2500","52.0KM2,35.8KM2",茅ヶ崎市,国際航業,"58.10.17,59.3.15",914,,,,「全域」削除,,,地名修正
神奈川県,"秦野市,小田原市",森林計画,撮影,16000,597.0KM2,神奈川県,朝日航洋,"58.5.20,58.8.31",148,,,「他～」削除,,,,
神奈川県,愛川町,道路台帳,図化,500,5.3KM2,愛川町,アジア航測,"58.6.22,58.12.20",,,,,,,,
神奈川県,寒川町,道路台帳,図化,500,5.2KM2,寒川町,アジア航測,"58.6.20,59.2.29",,,,,,,,
神奈川県,川崎市,道路調査,図化,1000,2.9KM2,関東地建川崎国道工事事務所,八州,"58.9.20,58.12.18",,,,,,「区」削除,,
神奈川県,"鎌倉市,藤沢市,茅ケ崎市,大和市,海老名市,座間市,綾瀬市,寒川町,横須賀市,逗子市,三浦市,葉山町,相模原市,秦野市,厚木市,伊勢原市,愛川町,清川村,南足柄市,中井町,大井町,松田町,山北町,開成町",道路台帳,図化,1000,71.7KM2,神奈川県,パスコ,"59.3.1,62.3.31",,,測量地域修正,,,,,地名修正
神奈川県,三浦市,都市計画,図化修正,2500,31.2KM2,三浦市,パスコ,"58.10.1,59.3.31",551,図化修正,,,「全域」削除,,,
神奈川県,横須賀市,都市計画,図化,2500,99.1KM2,横須賀市,国際航業,"58.10.25,59.3.23",915,,,,「全域」削除,,,
神奈川県,川崎市,都市計画,平板,500,0.3KM2,川崎市,江崎測量設計,"58.8.25,59.1.16",,,,,,「区」削除,,
神奈川県,川崎市,道路計画,平板,500,0.1KM2,川崎市,セントラルコンサルタント,"59.1.27,59.3.15",,,,,,「区」削除,,
神奈川県,厚木市,道路台帳,平板,500,0.4KM2,厚木市,金谷測量,"58.9.10,59.3.19",,,,,,,,
神奈川県,相模原市,道路台帳,平板,500,3.2KM2,相模原市,小橋測量設計,"58.6.1,59.3.15",,,,,,,,
神奈川県,三浦市,道路台帳,平板,500,0.8KM2,三浦市,パスコ,"59.3.1,59.10.31",,,,「他～」削除,,,,
神奈川県,南足柄市,道路台帳,平板,500,0.2KM2,南足柄市,精工技建,"58.12.26,59.3.26",,,,,,,,
神奈川県,川崎市,道水路台帳,平板・修正,500,60.7KM2,川崎市,多摩測量所,"58.7.10,58.10.20",376,平板修正,,地名修正,,,,
山梨県,,地盤沈下,水準,1級,85.8km,山梨県,(社)山梨県建設技術,"58.9.12,58.12.24",555,,,地名修正,,,,
山梨県,,道路台帳,"撮影,図化","4000,,500","136.0KM2,12.4KM2",山梨県,パスコ,"58.7.20,58.12.1",,,,「他～」削除,,,,
山梨県,勝山村,道路台帳,"撮影,図化","4000,,500","8.2KM2,1.7KM2",勝山村,写測,"58.10.15,59.7.30",,,,,,,,
山梨県,足和田村,下水道計画,"撮影,図化","4000,,500","2.5KM2,0.1KM2",足和田村,写測,"58.10.15,58.12.20",,,,,,,,
山梨県,小菅村,下水道計画,"撮影,図化","4000,,500","6.7KM2,0.6KM2",小菅村,セントラル航空測量,"58.6.13,58.8.31",,,,,,,,
山梨県,"韮崎市,小淵沢町",河川計画,"撮影,図化","4000,,500","18.4KM2,1.5KM2",山梨県,セントラル航空測量,"58.11.26,59.3.15",,,,,,,,
山梨県,甲西町,道路計画,撮影(対標有),8000,24.8KM2,関東地建甲府工事事務所,朝日航洋,"58.12.13,59.1.31",1100,,,,「外」削除,,,
山梨県,"韮崎市,八田村",道路計画,"撮影,図化","8000,,1000","36.2KM2,3.0KM2",山梨県甲府土木事務所,セントラル航空測量,"58.12.13,59.3.15",1115,,,,,,,
山梨県,石和町,都市計画,"撮影,図化","12500,,2500","36.0KM2,14.7KM2",石和町,パスコ,"58.8.14,59.3.10",1102,,,,「全域」削除,,,
山梨県,"大月市,南部町",電源開発,"撮影,図化","20000,,5000","110.0KM2,14.6KM2",新エネルギー財団水力本部,アジア航測,"58.9.16,59.3.10",739,,,,地名修正,,,
山梨県,甲府市,発電水力調査,"撮影,図化","20000,,5000","25.8KM2,4.3KM2",通産省エネルギー庁公益事業部,アジア航測,"58.8.25,58.10.31",540,,,地名修正,,,,
山梨県,,河川改修,図化修正,2500,27.9KM2,関東地建甲府工事事務所,協同測量社,"58.10.27,59.3.5",,図化修正,「～」が入っている,川の流域なので削除,,,,
山梨県,,河川計画,図化,2500,17.2KM2,関東地建甲府工事事務所,国際航業,"58.11.30,59.3.10",,,,川の流域なので削除,,,,
山梨県,中富町,農村総合整備,図化,5000,19.5KM2,山梨県峡南土地改良事務所,セントラル航空測量,"58.6.21,58.8.30",251,,,,,,,
山梨県,"白州町,武川村,韮崎市",砂防計画,図化,5000,223.8KM2,関東地建富士川砂防工事事務所,"国際航業,パスコ,アジア航測","58.5.16,59.2.22",445,,,「他～」削除,,,,
長野県,佐久市,都市計画,基準点,1級,17point,佐久市,朝日航洋,"58.4.15,58.5.15",,,,,,,,
長野県,佐久町,都市計画,基準点,1級,1point,佐久町,佐久測量社,"58.2.11,58.7.16",,,,,,,,
